object_id,frame_num,crop_path,text
1,0,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000000_00.jpg,-21% (Pocсx) 500r Избраниое ст16 A.C.M2C Мед БЕРЕСТОВ 514
1,1,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000001_00.jpg,-21% (Pocсx) 500r Избраниое ст16 A.C.M2C Мед БЕРЕСТОВ 514
1,2,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000002_00.jpg,-21% (Poссx) 500r Избранное ст 6 A.C.M2C Мед БЕРЕСТОВ 514
1,3,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000003_00.jpg,-21% (Pocсx) 500r Избранное ст 6 A.C.M2Cx Мeд БЕРЕСТОВ 514
1,4,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000004_00.jpg,-21% ) Избранное ст 6 A.C.M2Cx Мед БЕРЕСТОВ 514
1,5,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000005_00.jpg,-21% (Pocся) 500r Избранисе ст1 6 A.C.M2Co Med БЕРЕСТОВ 514
1,6,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000006_00.jpg,-21% (Pocся) 500r Избранное ст 6 A.C.M2nCo Med БЕРЕСТОВ 514
1,7,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000007_00.jpg,-21% Избранное ст 6 A.C.M2C Med БЕРЕСТОВ 514
1,8,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000008_00.jpg,-21% (Pocся) 500r Избранисе ст1 6 A.C.M2C Meд БЕРЕСТОВ 514
1,9,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000009_00.jpg,-21% () Избранисе ст 6 A.C.M2C Meд БЕРЕСТОВ 514
1,10,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000010_00.jpg,-21% (Pocся) 500r Избраннсе ст1 6 A.C.M2Co Meд БЕРЕСТОВ 514
1,11,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000011_00.jpg,-21% () Избрансе cт1 6 A.C. ManCx Мед БЕРЕСТОВ 514
1,12,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000012_00.jpg,-21% (Poсся) 500r Избраннсе ст 6 A.C. ManCx Мед БЕРЕСТОВ 514
1,13,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000013_00.jpg,(-21% (Poсся) 500r Избранисе ст 6 A.C.ManCx Meд БЕРЕСТОВ 514
1,14,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000014_00.jpg,(-21% (Pocся) 500r Мзбраннсе ст 6 A.C.ManCo Meд БЕРЕСТОВ 514
1,15,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000015_00.jpg,-21% (Poсс) 500r Мзбраннсе ст 6 A.C. M2Co Meд 6ЕРЕСТОВ 514
1,16,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000016_00.jpg,-21% (Pосся) 500 Мабраннсе ст 6 A.C. ManCon MeA 6ЕРЕСТОВ 514
1,17,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000017_00.jpg,-21% (Poсся) 500r Мабраннсе ст 6 A.C. ManCxon Meд БЕРЕСТОВ 514
1,18,C:\Lenta\Service v2\storage\crops\video2\id_1\frame_000018_00.jpg,(-21% (Poсся) 500r Избраннсе ст 6 A.C.ManCx Meд6ЕРЕСТОВ 514
